relative_path,file_name,folder,width,height,channels,has_alpha,suggested_category,suggested_object,next_step_usefulness
reanim/Cabbagepult_leaf.png,Cabbagepult_leaf.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_stalk1.png,Cabbagepult_stalk1.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_stalk2.png,Cabbagepult_stalk2.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_stalk3.png,Cabbagepult_stalk3.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_stalk4.png,Cabbagepult_stalk4.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_stalk5.png,Cabbagepult_stalk5.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cactus_arm1_1.png,Cactus_arm1_1.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_arm1_2.png,Cactus_arm1_2.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_arm2_1.png,Cactus_arm2_1.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_arm2_2.png,Cactus_arm2_2.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_blink1.png,Cactus_blink1.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_blink2.png,Cactus_blink2.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_body1.png,Cactus_body1.png,reanim,,,,False,plant,cactus,high_for_plant_reference
reanim/Cactus_body2.png,Cactus_body2.png,reanim,,,,False,plant,cactus,high_for_plant_reference
reanim/Cactus_body3.png,Cactus_body3.png,reanim,,,,False,plant,cactus,high_for_plant_reference
reanim/Cactus_body_overlay.png,Cactus_body_overlay.png,reanim,,,,False,plant,cactus,high_for_plant_reference
reanim/Cactus_body_overlay2.png,Cactus_body_overlay2.png,reanim,,,,False,plant,cactus,high_for_plant_reference
reanim/Cactus_flower.png,Cactus_flower.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_flower_top.png,Cactus_flower_top.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_lips.png,Cactus_lips.png,reanim,,,,False,plant,cactus,medium_for_plant_reference
reanim/Cactus_mouth.png,Cactus_mouth.png,reanim,,,,False,plant,cactus,high_for_plant_reference
reanim/Caltrop_blink1.png,Caltrop_blink1.png,reanim,,,,False,plant,spikeweed,medium_for_plant_reference
reanim/Caltrop_blink2.png,Caltrop_blink2.png,reanim,,,,False,plant,spikeweed,medium_for_plant_reference
reanim/Caltrop_body.png,Caltrop_body.png,reanim,,,,False,plant,spikeweed,high_for_plant_reference
reanim/Caltrop_body2.png,Caltrop_body2.png,reanim,,,,False,plant,spikeweed,high_for_plant_reference
reanim/Caltrop_horn1.png,Caltrop_horn1.png,reanim,,,,False,plant,spikeweed,medium_for_plant_reference
reanim/Caltrop_horn2.png,Caltrop_horn2.png,reanim,,,,False,plant,spikeweed,medium_for_plant_reference
reanim/Caltrop_horn3.png,Caltrop_horn3.png,reanim,,,,False,plant,spikeweed,medium_for_plant_reference
reanim/Caltrop_horn4.png,Caltrop_horn4.png,reanim,,,,False,plant,spikeweed,medium_for_plant_reference
reanim/Cattail_blink1.png,Cattail_blink1.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_blink2.png,Cattail_blink2.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_eyebrow1.png,Cattail_eyebrow1.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
reanim/Cattail_eyebrow2.png,Cattail_eyebrow2.png,reanim,,,,False,plant,cattail,medium_for_plant_reference
